Date,Cummulative Advancing Coins (%24h),Cummulative Declining Coins (%24h),,ADVN - DECN,,19 Calc,39 Calc,,Osc (MO),Index (MSI)
1 Oct 2018,43,82,,-39,,0.1,0.05,,,
2 Oct 2018,58,67,,-9,,,,,,
3 Oct 2018,21,104,,-83,,,,,,
4 Oct 2018,93,32,,61,,,,,,
5 Oct 2018,91,34,,57,,,,,,
6 Oct 2018,30,95,,-65,,,,,,
7 Oct 2018,63,62,,1,,,,,,
8 Oct 2018,99,26,,73,,,,,,
9 Oct 2018,45,80,,-35,,,,,,
10 Oct 2018,51,74,,-23,,,,,,
11 Oct 2018,4,121,,-117,,,,,,
12 Oct 2018,91,34,,57,,,,,,
13 Oct 2018,78,47,,31,,,,,,
14 Oct 2018,37,88,,-51,,,,,,
15 Oct 2018,114,11,,103,,,,,,
16 Oct 2018,73,52,,21,,,,,,
17 Oct 2018,61,64,,-3,,,,,,
18 Oct 2018,22,103,,-81,,,,,,
19 Oct 2018,75,50,,25,,,,,,
20 Oct 2018,97,28,,69,,-0.4,,,,
21 Oct 2018,56,69,,-13,,6.54,,,,
22 Oct 2018,58,67,,-9,,4.586,,,,
23 Oct 2018,59,66,,-7,,3.2274,,,,
24 Oct 2018,68,57,,11,,2.20466,,,,
25 Oct 2018,39,86,,-47,,3.084194,,,,
26 Oct 2018,57,68,,-11,,-1.9242254,,,,
27 Oct 2018,40,85,,-45,,-2.83180286,,,,
28 Oct 2018,96,29,,67,,-7.048622574,,,,
29 Oct 2018,15,110,,-95,,0.3562396834,,,,
30 Oct 2018,75,50,,25,,-9.179384285,,,,
31 Oct 2018,59,66,,-7,,-5.761445856,,,,
1 Nov 2018,96,29,,67,,-5.885301271,,,,
2 Nov 2018,69,56,,13,,1.403228856,,,,
3 Nov 2018,44,81,,-37,,2.562905971,,,,
4 Nov 2018,64,61,,3,,-1.393384626,,,,
5 Nov 2018,56,69,,-13,,-0.9540461638,,,,
6 Nov 2018,100,25,,75,,-2.158641547,,,,
7 Nov 2018,66,59,,7,,5.557222607,,,,
8 Nov 2018,25,100,,-75,,5.701500347,,,,
9 Nov 2018,30,95,,-65,,-2.368649688,-4.1,,1.731350312,1.731350312
10 Nov 2018,91,34,,57,,-8.631784719,-7.145,,-1.486784719,0.2445655927
11 Nov 2018,34,91,,-57,,-2.068606247,-3.93775,,1.869143753,2.113709345
12 Nov 2018,43,82,,-39,,-7.561745623,-6.5908625,,-0.9708831226,1.142826223
13 Nov 2018,25,100,,-75,,-10.70557106,-8.211319375,,-2.494251685,-1.351425463
14 Nov 2018,5,120,,-115,,-17.13501395,-11.55075341,,-5.584260548,-6.935686011
15 Nov 2018,35,90,,-55,,-26.92151256,-16.72321574,,-10.19829682,-17.13398283
16 Nov 2018,33,92,,-59,,-29.7293613,-18.63705495,,-11.09230635,-28.22628919
17 Nov 2018,40,85,,-45,,-32.65642517,-20.6552022,,-12.00122297,-40.22751216
18 Nov 2018,101,24,,77,,-33.89078266,-21.87244209,,-12.01834056,-52.24585272
19 Nov 2018,3,122,,-119,,-22.80170439,-16.92881999,,-5.872884403,-58.11873713
20 Nov 2018,11,114,,-103,,-32.42153395,-22.03237899,,-10.38915496,-68.50789209
21 Nov 2018,116,9,,107,,-39.47938056,-26.08076004,,-13.39862052,-81.90651261
22 Nov 2018,19,106,,-87,,-24.8314425,-19.42672204,,-5.404720464,-87.31123307
23 Nov 2018,26,99,,-73,,-31.04829825,-22.80538593,,-8.242912316,-95.55414539
24 Nov 2018,10,115,,-105,,-35.24346843,-25.31511664,,-9.928351787,-105.4824972
25 Nov 2018,94,31,,63,,-42.21912158,-29.29936081,,-12.91976078,-118.4022579
26 Nov 2018,15,110,,-95,,-31.69720942,-24.68439277,,-7.012816659,-125.4150746
27 Nov 2018,95,30,,65,,-38.02748848,-28.20017313,,-9.827315355,-135.24239
28 Nov 2018,120,5,,115,,-27.72473963,-23.54016447,,-4.184575163,-139.4269651
29 Nov 2018,60,65,,-5,,-13.45226567,-16.61315625,,3.160890577,-136.2660745
30 Nov 2018,10,115,,-105,,-12.6070391,-16.03249844,,3.425459332,-132.8406152
1 Dec 2018,115,10,,105,,-21.84633519,-20.48087351,,-1.36546168,-134.2060769
2 Dec 2018,20,105,,-85,,-9.161701674,-14.20682984,,5.045128164,-129.1609487
3 Dec 2018,7,118,,-111,,-16.74553151,-17.74648835,,1.000956839,-128.1599919
4 Dec 2018,89,36,,53,,-26.17097836,-22.40916393,,-3.761814427,-131.9218063
5 Dec 2018,8,117,,-109,,-18.25388052,-18.63870573,,0.3848252119,-131.5369811
6 Dec 2018,9,116,,-107,,-27.32849247,-23.15677045,,-4.171722023,-135.7087031
7 Dec 2018,30,95,,-65,,-35.29564322,-27.34893192,,-7.946711298,-143.6554144
8 Dec 2018,64,61,,3,,-38.2660789,-29.23148533,,-9.034593572,-152.690008
9 Dec 2018,113,12,,101,,-34.13947101,-27.61991106,,-6.519559949,-159.2095679
10 Dec 2018,15,110,,-95,,-20.62552391,-21.18891551,,0.5633915993,-158.6461764
11 Dec 2018,29,96,,-67,,-28.06297152,-24.87946973,,-3.183501785,-161.8296781
12 Dec 2018,88,37,,51,,-31.95667437,-26.98549625,,-4.97117812,-166.8008563
13 Dec 2018,9,116,,-107,,-23.66100693,-23.08622143,,-0.5747854958,-167.3756418
14 Dec 2018,22,103,,-81,,-31.99490624,-27.28191036,,-4.712995875,-172.0886376
15 Dec 2018,49,76,,-27,,-36.89541561,-29.96781484,,-6.927600769,-179.0162384
16 Dec 2018,95,30,,65,,-35.90587405,-29.8194241,,-6.08644995,-185.1026883
17 Dec 2018,122,3,,119,,-25.81528665,-25.0784529,,-0.7368337499,-185.8395221
18 Dec 2018,108,17,,91,,-11.33375798,-17.87453025,,6.54077227,-179.2987498
